Banda ancha fija,Dial up,Total,trimestre_año
11078691,12437,11091128,2022 T3
10946248,12436,10958684,2022 T2
10611390,12619,10624009,2022 T1
10476933,12861,10489794,2021 T4
10075184,10357,10085541,2021 T3
9852702,10382,9863084,2021 T2
9637956,10016,9647972,2021 T1
9561546,10016,9571562,2020 T4
9346183,10016,9356199,2020 T3
9021040,10016,9031056,2020 T2
8802435,9991,8812426,2020 T1
8783053,10128,8793181,2019 T4
9142891,21793,9164684,2019 T3
8938427,21754,8960181,2019 T2
8626323,21812,8648135,2019 T1
8451841,21814,8473655,2018 T4
8320223,26812,8347035,2018 T3
8083533,26911,8110444,2018 T2
8009981,27072,8037053,2018 T1
7842778,27444,7870222,2017 T4
7696594,28349,7724943,2017 T3
7401134,2853,7429664,2017 T2
7277314,2854,7305854,2017 T1
7223128,28545,7251673,2016 T4
7178340,2861,7206950,2016 T3
7097604,32475,7130079,2016 T2
6874704,32652,6907356,2016 T1
6952289,32542,6984831,2015 T4
6902267,32801,6935068,2015 T3
6783279,32909,6816188,2015 T2
6699714,38018,6737732,2015 T1
6559172,39324,6598496,2014 T4
6559264,36007,6595271,2014 T3
6428329,36139,6464468,2014 T2
6362108,3629,6398398,2014 T1
